brief_id,status,brand_id,brand_name,contract_id,contract_name,category,vertical,brief_allocation,photos_required,gifs_required,cinemagraphs_required,videos_required,brand_selection,rating,total_briefs_purchased,total_briefs_used,price_per_brief,product_type,created_date,
5a71e1c299161d0011b4de53,Closed,58e7dd90ec91100c0097da48,Nonni's,58e7de58219b2f0b0027433e,H+K THINaddictives,Lifestyle,Food & Beverage,1,25,0,0,0,FALSE,,8,8,2500,,2018-01-31 16:26,
5a71e1c299161d0011b4de53,Closed,58e7dd90ec91100c0097da48,Nonni's,58e7de58219b2f0b0027433e,H+K THINaddictives,Product,Food & Beverage,1,25,0,0,0,FALSE,,8,8,2500,,2018-01-31 16:26,
5a71eda4561f7a0010498882,Closed,58ca9dd58da8170b00d62783,LightStream,58ca9d4c7fd28f0b00f307fc,CLOSED - LightStream 2017,Architecture & Buildings,Banking/Financial Services,0,25,0,0,0,FALSE,4,4,4,5015.63,,2018-01-31 16:24,
5a721a64bfb81800121a53b5,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 19:57,
5a72200081a4d300106e9597,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 20:17,
5a72226b81a4d300106e99d1,Closed,5a7221c98fe8ef000f3c4440,Warsteiner,5a6b698ce43a63001013bd9f,Front Page Creative Services- Warsteiner USA- 2019-01- Basic- #holdout Front Page Creative Services-SDR - Stage 3Opp,Lifestyle,Alcohol,0,25,0,0,0,FALSE,,8,8,3125,,2018-01-31 20:09,
5a72226b81a4d300106e99d1,Closed,5a7221c98fe8ef000f3c4440,Warsteiner,5a6b698ce43a63001013bd9f,Front Page Creative Services- Warsteiner USA- 2019-01- Basic- #holdout Front Page Creative Services-SDR - Stage 3Opp,Product,Alcohol,0,25,0,0,0,FALSE,,8,8,3125,,2018-01-31 20:09,
5a72265081a4d300106eb5df,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 20:29,
5a7227508fe8ef000f3c81e1,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 20:34,
5a7228878fe8ef000f3c8bba,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 20:38,
