BriefId,BrandFeedback,Curation,OnBrief,OverallScore,Time,photographerId
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,5654ec220e7319de1bbaca3b
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5658c4c66cc6ba7843545768
566b3c3d1c1e4646317e48f7,3.15,79.16666667,33.33333333,82.31666667,100,566671663e697f3a715999b6
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5642fa54d084420b43bf9324
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5647ba95d084420b43c03e6b
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5660ed673e697f3a71591026
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,564204490701398a1fe7f6c7
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,564de78598067a1d09227e38
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,56566c3d6cc6ba78435423e1
566b3c3d1c1e4646317e48f7,3,68.75,0,71.75,100,565b45216cc6ba7843546737
566b3c3d1c1e4646317e48f7,3,0,0,0,0,566067703e697f3a7158be94
566b3c3d1c1e4646317e48f7,3,0,0,0,0,56477399d084420b43c03c0b
566b3c3d1c1e4646317e48f7,3,56.25,0,59.25,100,5665d61d3e697f3a715981cc
566b3c3d1c1e4646317e48f7,3,0,0,0,0,5651457d0e7319de1bba1eff
566b3c3d1c1e4646317e48f7,3,43.75,0,46.75,100,5640e9d80701398a1fe7b5f8
565df78d3e697f3a7157b0c1,0.03,87.5,100,87.53,100,55e7614bfcba3b8b672ee01a
568a8a5a9c4f3a3a44156776,0.06,60.41666667,33.33333333,60.47666667,100,5470114fa5ed747b68c69ed9
568a8a5a9c4f3a3a44156776,0,0,0,0,0,5567bfabd3b5e45f4345d8c3
568a8a5a9c4f3a3a44156776,0,0,0,0,0,55d58542ae03426f6b39bdbf
568a8a5a9c4f3a3a44156776,0,0,0,0,0,55d6091cae03426f6b3a00db
568a8a5a9c4f3a3a44156776,0,0,0,0,0,55fe0bae337697b77f9ebe02
568a8a5a9c4f3a3a44156776,0,0,0,0,0,55efbed5fcba3b8b67309c31
568a8a5a9c4f3a3a44156776,0,0,0,0,0,56149f5800259fc371bc6a5f
568a8a5a9c4f3a3a44156776,0,0,0,0,0,562e8fab6ecb57e815008a0e
568a8a5a9c4f3a3a44156776,0,43.75,0,43.75,100,5660ca983e697f3a71590903
568a8a5a9c4f3a3a44156776,0,68.75,0,68.75,100,56185f17c8b571113c686d85
568a8a5a9c4f3a3a44156776,0,0,0,0,0,56477399d084420b43c03c0b
